PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund,clustered_label
201601,10143,1822.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10143,6463.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10143,6675.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10143,6660.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10143,818.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10143,837.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10143,837.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10147,7775.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10147,7757.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10147,10013.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10147,10125.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10147,6512.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10147,6471.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10147,6408.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10147,10711.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10147,11325.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10147,7167.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,10147,9256.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,101499,507.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,10168,2129.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10168,1209.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10168,1972.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10168,1210.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10168,1207.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,101739,1211.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,101739,84.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,101739,84.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,101820,181812.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,101820,246151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,101820,217955.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,101820,285602.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,101820,301482.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,101820,249423.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,101820,145285.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
