,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
76,102205051,6461,6461,6100,6461,6463,6463,6461,6463,6461,6461,6440,6559,6461,6461,6461,6461,6600,6509,36,1.0,18.0,47.6,60
77,102205033,6461,6461,6461,6463,6461,6461,6464,6461,6464,6461,6464,6600,6461,6464,6464,6461,6461,6559,20,12.0,20.0,59.5,72
78,102205030,6461,6463,6463,6461,3620,1400,6461,6463,6463,6465,6463,6465,6461,6461,6461,6461,6465,3300,33,12.5,9.0,49.5,62
79,102205024,6461,6463,6420,6463,6461,6465,6461,6463,6220,6464,6463,6461,6464,6465,6461,6461,6461,6461,42,22.0,35.5,91.3,99
80,102205022,6461,6464,3100,6464,6461,4200,6461,6100,6464,6461,6464,6430,6461,6461,6461,6461,6461,6430,35,8.5,9.0,43.6,56
81,102205020,6461,6461,6230,3300,6461,4400,6461,6463,6461,6461,6461,3650,6461,6461,6461,6461,6461,6600,34,10.5,19.5,52.3,65
82,102205017,6461,6465,6450,6465,6450,6463,6409,6461,6463,6450,6461,6463,6409,6463,6461,6450,6461,6461,44,23.0,30.5,84.9,97
83,102103012,6461,6420,6464,6463,4400,3500,6420,6600,3100,6420,6461,6540,6464,6464,6461,6461,6461,6600,20,17.0,14.0,60.0,72
84,101502012,6461,6465,6464,6463,6465,6440,6463,6461,6464,6465,6464,6450,6461,6461,6464,6463,6461,6450,41,18.5,30.0,83.7,96
85,101401042,6461,6461,6463,6461,6461,6320,6465,6461,6461,6461,6461,6320,6461,6461,6461,6461,6465,6461,33,10.5,13.0,46.8,60
86,101302049,6461,6461,6463,6461,6461,6420,6461,6465,6461,6461,6450,6450,6461,6461,6461,6461,6450,3500,10,7.5,8.5,37.0,49
87,101209037,6461,6461,6463,6464,6320,6360,6461,6462,6464,6450,6100,6330,6463,6461,6450,6461,3640,6440,20,20.0,21.0,63.2,76
88,101208094,6461,6461,6461,6420,6461,6320,3300,6461,6461,6464,6464,6550,6465,6461,6420,6420,6461,6250,20,13.0,20.0,60.5,73
89,101208091,6461,6464,6210,6409,6450,3300,6461,6461,6210,6461,6440,6461,6461,6461,6461,6461,6461,6461,43,15.0,29.5,76.5,90
