id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
102208001,0.71,0.71,0.71,0.77,0.2,0.4,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,15.5,18.5,30.5,92
102205095,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,14.0,24.5,32.5,99
102205092,0.71,0.71,0.71,0.75,0.2,0.2,0.71,0.71,0.71,0.71,0.71,0.78,0.71,0.71,0.75,0.71,0.71,0.4,12.0,15.5,31.0,87
102205081,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.72,14.0,4.5,16.5,62
102205051,0.71,0.71,0.77,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.5,0.5,12.0,1.0,18.0,60
102205033,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.72,15.5,12.0,20.0,72
102205030,0.71,0.71,0.71,0.71,0.2,0.3,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.2,14.5,12.5,9.0,62
102205024,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.78,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,20.5,22.0,35.5,99
102205022,0.71,0.71,0.8,0.71,0.71,0.1,0.71,0.77,0.71,0.71,0.71,0.72,0.71,0.71,0.71,0.71,0.71,0.72,14.0,8.5,9.0,56
102205020,0.71,0.71,0.78,0.2,0.71,0.1,0.71,0.71,0.71,0.71,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.5,12.0,10.5,19.5,65
102205017,0.71,0.71,0.75,0.75,0.75,0.71,0.74,0.71,0.71,0.78,0.71,0.71,0.74,0.71,0.71,0.75,0.71,0.71,19.0,23.0,30.5,97
102103012,0.71,0.74,0.71,0.71,0.1,0.2,0.71,0.5,0.8,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.5,12.5,17.0,14.0,72
101502012,0.71,0.71,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.78,20.0,18.5,30.0,96
101401042,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.71,11.0,10.5,13.0,60
101302049,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.75,0.71,0.71,0.75,0.75,0.71,0.71,0.71,0.71,0.75,0.2,8.0,7.5,8.5,49
101209037,0.71,0.71,0.71,0.71,0.4,0.4,0.71,0.71,0.71,0.75,0.77,0.4,0.71,0.71,0.75,0.71,0.2,0.76,19.5,20.0,21.0,76
101208094,0.71,0.71,0.71,0.71,0.71,0.4,0.2,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.79,12.5,13.0,20.0,73
101208091,0.71,0.71,0.79,0.74,0.75,0.2,0.71,0.71,0.79,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,18.5,15.0,29.5,90
101208090,0.71,0.71,0.71,0.71,0.75,0.2,0.71,0.2,0.2,0.75,0.71,0.6,0.71,0.71,0.71,0.71,0.8,0.71,19.0,22.0,38.0,99
101208084,0.71,0.71,0.4,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,14.5,15.5,32.5,83
101208082,0.71,0.74,0.71,0.75,0.4,0.4,0.71,0.71,0.71,0.71,0.74,0.6,0.71,0.74,0.71,0.71,0.71,0.73,20.0,8.5,28.0,85
101208080,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.78,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.5,17.5,23.5,30.0,99
101208079,0.71,0.75,0.74,0.2,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,16.5,16.5,28.5,89
101208078,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.78,0.76,0.71,0.71,0.71,0.71,0.71,0.71,10.0,13.0,21.0,67
101208070,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.71,0.71,0.71,0.71,0.71,0.71,0.71,17.0,21.0,28.0,92
101208065,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,16.0,21.5,38.5,99
101208064,0.71,0.71,0.71,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.78,0.71,0.71,0.71,16.0,14.5,18.0,74
101208062,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.75,0.74,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.72,14.5,7.5,28.0,82
101208060,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.9,0.71,0.71,0.71,0.71,0.71,0.5,11.5,14.5,17.5,70
101208058,0.71,0.1,0.76,0.6,0.75,0.1,0.71,0.73,0.71,0.71,0.76,0.1,0.3,0.71,0.71,0.71,0.71,0.5,19.0,23.5,33.5,99
101208056,0.71,0.71,0.71,0.71,0.79,0.71,0.71,0.71,0.71,0.71,0.78,0.1,0.71,0.71,0.71,0.71,0.79,0.71,8.5,20.5,20.5,80
101208055,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.72,17.5,16.5,24.0,79
101208054,0.71,0.71,0.71,0.71,0.4,0.79,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.71,19.0,8.5,28.5,80
101208053,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.2,0.71,0.2,0.71,0.71,19.0,21.0,17.0,82
101208052,0.71,0.71,0.71,0.71,0.71,0.2,0.71,0.71,0.74,0.8,0.71,0.1,0.74,0.75,0.71,0.71,0.71,0.78,9.5,17.0,27.0,83
101208050,0.71,0.71,0.77,0.71,0.71,0.1,0.75,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.71,19.0,19.5,34.5,92
101208034,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,20.0,24.5,27.5,96
101208031,0.71,0.71,0.71,0.75,0.71,0.76,0.71,0.75,0.5,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,11.5,7.5,18.0,66
101208025,0.71,0.71,0.78,0.77,0.71,0.1,0.71,0.71,0.71,0.71,0.2,0.2,0.71,0.71,0.71,0.71,0.71,0.2,7.5,4.0,11.5,42
101208017,0.71,0.71,0.78,0.78,0.4,0.78,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.73,9.0,10.5,16.0,53
101208015,0.71,0.71,0.71,0.71,0.77,0.76,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.71,0.71,0.71,0.71,0.73,11.5,5.0,28.0,75
101208013,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.8,0.71,0.71,0.71,0.71,0.71,0.71,22.0,0.0,0.0,50
101208008,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,12.0,1.0,19.0,62
101208005,0.71,0.71,0.71,0.71,0.8,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.76,0.71,0.71,13.0,8.5,23.0,69
101208004,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.71,22.5,23.5,32.5,99
101208003,0.71,0.71,0.71,0.71,0.71,0.72,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.71,4.0,6.0,0.0,32
101208002,0.71,0.77,0.8,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.78,0.71,0.71,16.5,19.5,26.0,87
