,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
277,201607,10185,3530.3,3530.3,0,0,0,0,0,0,0,0
278,201611,10185,8906.24,8906.24,0,0,0,0,0,0,0,0
279,201612,10185,8906.24,8906.24,0,0,0,0,0,0,0,0
280,201701,10185,8906.24,0,0,8906.24,0,0,0,0,0,0
281,201601,10201,363.02,363.02,0,0,0,0,0,0,0,0
282,201602,10201,365.31,365.31,0,0,0,0,0,0,0,0
283,201603,10201,3162.03,3162.03,0,0,0,0,0,0,0,0
284,201604,10201,6734.88,6734.88,0,0,0,0,0,0,0,0
285,201605,10201,3839.64,3839.64,0,0,0,0,0,0,0,0
286,201606,10201,4057.84,4057.84,0,0,0,0,0,0,0,0
287,201607,10201,3092.2,3092.2,0,0,0,0,0,0,0,0
288,201608,10201,3078.2,3078.2,0,0,0,0,0,0,0,0
289,201609,10201,3208.3,3208.3,0,0,0,0,0,0,0,0
290,201610,10201,6066.26,6066.26,0,0,0,0,0,0,0,0
291,201611,10201,2850.3,2850.3,0,0,0,0,0,0,0,0
292,201702,10201,23996.45,23996.45,0,0,0,0,0,0,0,0
293,201703,10201,24841.92,24841.92,0,0,0,0,0,0,0,0
294,201704,10201,5190,5190,0,0,0,0,0,0,0,0
295,201705,10201,5689.29,5689.29,0,0,0,0,0,0,0,0
296,201706,10201,6097.34,6097.34,0,0,0,0,0,0,0,0
297,201601,10207,66327.09,66327.09,0,0,0,0,0,0,0,0
298,201602,10207,38428.85,38428.85,0,0,0,0,0,0,0,0
299,201603,10207,46252.13,46252.13,0,0,0,0,0,0,0,0
300,201604,10207,90307.06,90307.06,0,0,0,0,0,0,0,0
301,201605,10207,36717.71,36717.71,0,0,0,0,0,0,0,0
302,201606,10207,44467.17,44467.17,0,0,0,0,0,0,0,0
303,201607,10207,43774.46,43774.46,0,0,0,0,0,0,0,0
304,201608,10207,44043.53,44043.53,0,0,0,0,0,0,0,0
305,201609,10207,30482.49,30482.49,0,0,0,0,0,0,0,0
306,201610,10207,30641.86,30641.86,0,0,0,0,0,0,0,0
307,201611,10207,57302.96,57302.96,0,0,0,0,0,0,0,0
308,201612,10207,52185.29,52185.29,0,0,0,0,0,0,0,0
309,201701,10207,53692.01,53692.01,0,0,0,0,0,0,0,0
310,201702,10207,28672.59,28672.59,0,0,0,0,0,0,0,0
311,201703,10207,45859.74,45859.74,0,0,0,0,0,0,0,0
312,201704,10207,17253.09,17253.09,0,0,0,0,0,0,0,0
313,201705,10207,33841.54,33841.54,0,0,0,0,0,0,0,0
314,201706,10207,31065.4,31065.4,0,0,0,0,0,0,0,0
