id,video_week1,text_week1,video_week2,text_week2,video_week3,text_week3,video_week4,text_week4,video_week5,text_week5,video_week6,text_week6,video_week7,text_week7,video_week8,text_week8,video_week9,text_week9,video_week10,text_week10,video_week11,text_week11,video_week12,text_week12,video_week13,text_week13,video_week14,text_week14,video_week15,text_week15,video_week16,text_week16,video_week17,text_week17,video_week18,text_week18
102208021,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11649,202,0,0,0,0,64,0,0,0,33,0,0,0,0,361,0
102208022,0,0,0,66,478,0,0,158,0,0,5261,807,0,0,0,189,0,98,0,0,325,331,17675,0,0,46,0,37,0,0,0,0,0,0,10011,0
102208023,0,0,0,0,0,0,480,889,0,1753,875,0,0,0,0,62,1898,0,0,0,74,0,802,0,0,0,0,0,0,0,0,0,0,0,153,0
102208024,0,0,0,0,0,5256,0,103,151,52,1014,0,0,0,0,0,530,56,0,0,0,0,2589,0,0,0,0,0,0,0,0,0,0,0,2217,0
102208029,0,0,0,0,2957,80,231,532,4994,105,0,3319,0,0,0,0,0,0,0,99,12307,0,8597,737,0,34,0,0,0,0,0,0,0,0,0,0
102208030,0,0,0,0,0,0,0,0,4503,0,12979,0,0,5662,2353,43311,2875,319,0,0,21601,0,0,0,0,0,0,217,2286,293,0,0,0,897,0,0
102208032,0,0,0,74,0,0,0,0,0,0,9163,455,0,0,0,0,0,0,0,0,0,0,14398,3506,0,0,0,0,0,0,0,0,0,0,15168,431
102208034,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16022,0,0,0,0,0,0,0,0,0,0,0,1070,0
102208038,0,0,0,0,0,0,0,0,0,127,0,3966,0,0,0,0,0,0,0,0,7250,0,459,1887,0,0,0,0,0,0,0,0,0,0,178,0
102208041,0,0,0,0,0,16221,238,3594,2378,4143,4496,1175,0,0,0,47,708,37,0,0,0,6080,5686,5955,0,31,0,0,0,956,198,20086,1185,0,5206,6907
102208042,0,0,0,646,0,2394,0,0,3276,5793,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,34,0,0,0,0,0,0,0,46,0,4366
102208043,0,0,0,0,0,60,113,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,4741,370,0,0,0,0,5435,0
102208044,0,0,0,0,0,0,0,0,340,0,20657,0,0,0,5421,0,0,0,310,33,43485,0,9920,0,0,0,33,0,0,0,0,0,3929,799,40,286
102208045,0,0,85,33,0,84,0,0,0,0,351,0,0,45,0,0,8349,250,0,0,0,0,4534,61,0,0,0,0,0,0,0,65,0,0,3908,0
102208046,0,0,0,0,32,32,0,0,1558,327,30033,0,0,0,0,0,8719,0,0,0,3491,499,0,0,0,0,0,58,0,0,0,42,0,150,12201,75
102208052,0,0,0,42,0,78,0,484,0,0,1296,7635,0,118,0,0,0,69,0,31,5819,645,11955,0,0,0,0,0,0,1322,0,0,0,55,1571,0
102208053,0,0,0,0,0,0,0,0,0,0,15108,49,0,0,0,0,0,0,0,1674,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
102208054,0,0,0,0,0,1727,0,2429,528,94,183,2902,0,0,0,0,0,0,0,0,0,46,8246,3125,0,33,0,109,0,0,0,0,0,0,12868,77
102208055,0,0,0,0,0,0,0,3480,82,73,7480,1682,834,93,0,0,45,0,0,0,1050,0,1689,45,0,0,0,0,0,0,0,0,0,0,1280,0
