clustered_label,0,1,2
3779,0.0,0.0,0.0
3779,0.0,0.0,0.0
2600,0.0,0.0,0.0
3779,0.0,0.0,0.0
3779,0.0,0.0,0.0
3779,0.0,0.0,0.0
3730,0.0,0.0,0.0
3779,0.0,0.0,0.0
3730,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,1.0,0.0,0.0
3760,1.0,0.0,0.0
3760,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,1.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
3730,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,0.0,0.0,0.0
3730,1.0,0.0,0.0
2600,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,1.0,0.0,0.0
2500,0.0,0.0,0.0
2500,1.0,0.0,0.0
2500,0.0,0.0,0.0
2600,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
2600,0.0,0.0,0.0
2500,1.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,1.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,1.0,0.0,0.0
2800,1.0,0.0,0.0
2500,1.0,0.0,0.0
3730,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,1.0,0.0,0.0
3758,0.0,0.0,0.0
2500,1.0,0.0,0.0
2800,0.0,0.0,0.0
2500,1.0,0.0,0.0
2800,1.0,0.0,0.0
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
3730,1.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,1.0,0.0,0.0
2800,1.0,0.0,0.0
2500,0.0,0.0,0.0
3760,0.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2600,1.0,0.0,0.0
3758,1.0,0.0,0.0
2500,0.0,0.0,0.0
2800,0.0,0.0,0.0
2800,0.0,0.0,0.0
2500,1.0,0.0,0.0
2800,0.0,0.0,0.0
2500,1.0,0.0,0.0
2800,0.0,0.0,0.0
2400,0.0,0.0,0.0
2500,0.0,0.0,0.0
2400,1.0,0.0,0.0
2400,1.0,1.0,1.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,1.0,1.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,1.0,0.0,0.0
2400,1.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,1.0,0.0,0.0
2400,0.0,0.0,0.0
2400,1.0,0.0,0.0
2400,0.0,0.0,0.0
2500,0.0,0.0,0.0
2400,0.0,0.0,0.0
