TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
36,6,0,35,101205029,week7,5522
5,0,0,6,101205029,week8,5521
776,0,0,32,101205029,week9,5510
61,7,0,206,101205029,week10,5560
6498,23,0,13,101205029,week11,5100
2506,0,0,2899,101205029,week12,5210
15,0,0,5,101205029,week13,5521
5908,0,0,60,101205029,week14,5100
2512,0,0,0,101205029,week15,5600
0,0,0,50,101205029,week16,5522
19,0,0,33,101205029,week17,5522
0,0,0,8,101205029,week18,5521
0,0,23,39,101205043,week1,5522
0,21,9,35,101205043,week2,5522
0,0,0,0,101205043,week3,5521
0,9,0,38,101205043,week4,5522
0,0,0,12,101205043,week5,5521
0,0,7940,0,101205043,week6,4300
0,0,0,0,101205043,week7,5521
0,0,13,0,101205043,week8,5521
0,171,0,861,101205043,week9,5400
0,6,0,10,101205043,week10,5521
0,0,0,0,101205043,week11,5521
13,34,252,0,101205043,week12,5523
0,67,15,73,101205043,week13,5524
0,0,0,31,101205043,week14,5522
0,0,0,0,101205043,week15,5521
0,0,0,0,101205043,week16,5521
0,0,0,0,101205043,week17,5521
0,0,10749,429,101205043,week18,4600
0,0,0,9,101205093,week1,5521
0,19,0,59,101205093,week2,5522
0,30,13,7,101205093,week3,5521
0,24,0,1667,101205093,week4,5400
0,0,0,251,101205093,week5,5560
7,8,35,391,101205093,week6,5560
0,0,0,0,101205093,week7,5521
0,0,0,0,101205093,week8,5521
0,0,0,0,101205093,week9,5521
0,0,0,41,101205093,week10,5522
0,77,5626,36,101205093,week11,4100
5122,17184,684,15518,101205093,week12,3400
0,0,0,1000,101205093,week13,5400
0,0,0,178,101205093,week14,5526
874,0,0,19,101205093,week15,5510
0,0,0,0,101205093,week16,5521
0,0,0,0,101205093,week17,5521
1942,6,23717,19,101205093,week18,1400
0,0,0,0,101208002,week1,5521
0,589,20,769,101208002,week2,5400
0,1905,0,9,101208002,week3,5550
0,0,0,0,101208002,week4,5521
0,0,0,5851,101208002,week5,3220
0,0,97,19,101208002,week6,5523
0,0,0,0,101208002,week7,5521
0,0,7,0,101208002,week8,5521
0,0,0,0,101208002,week9,5521
0,0,0,0,101208002,week10,5521
0,0,0,0,101208002,week11,5521
1449,5,1579,221,101208002,week12,5300
0,0,0,9,101208002,week13,5521
0,0,0,0,101208002,week14,5521
0,0,0,0,101208002,week15,5521
0,0,0,1019,101208002,week16,5400
30,0,0,26,101208002,week17,5521
0,0,0,18,101208002,week18,5521
0,0,0,0,101208003,week1,5521
0,0,0,0,101208003,week2,5521
0,0,0,0,101208003,week3,5521
0,0,0,0,101208003,week4,5521
0,0,0,0,101208003,week5,5521
1153,0,46,7,101208003,week6,5600
0,0,0,0,101208003,week7,5521
0,0,0,0,101208003,week8,5521
0,0,0,0,101208003,week9,5521
0,0,0,0,101208003,week10,5521
0,0,0,0,101208003,week11,5521
2566,0,24,21,101208003,week12,5600
0,0,0,0,101208003,week13,5521
0,0,0,0,101208003,week14,5521
0,0,0,0,101208003,week15,5521
0,0,0,0,101208003,week16,5521
0,0,0,0,101208003,week17,5521
0,0,0,0,101208003,week18,5521
0,0,0,0,101208004,week1,5521
0,13,0,43,101208004,week2,5522
0,16,0,31,101208004,week3,5522
0,54,0,107,101208004,week4,5526
0,0,0,60,101208004,week5,5522
0,0,0,194,101208004,week6,5526
0,0,0,0,101208004,week7,5521
0,0,0,5,101208004,week8,5521
0,0,0,0,101208004,week9,5521
0,0,0,0,101208004,week10,5521
0,0,0,9,101208004,week11,5521
0,0,3424,39,101208004,week12,4100
0,0,0,36,101208004,week13,5522
0,0,0,71,101208004,week14,5522
0,0,0,26,101208004,week15,5521
0,0,0,0,101208004,week16,5521
0,0,0,0,101208004,week17,5521
0,0,0,0,101208004,week18,5521
0,0,0,0,101208005,week1,5521
0,0,0,0,101208005,week2,5521
0,0,0,0,101208005,week3,5521
0,0,0,0,101208005,week4,5521
0,1844,0,1732,101208005,week5,5400
0,0,0,5,101208005,week6,5521
0,0,0,0,101208005,week7,5521
0,0,0,41,101208005,week8,5522
0,0,0,0,101208005,week9,5521
0,0,0,0,101208005,week10,5521
0,0,0,0,101208005,week11,5521
1263,449,0,525,101208005,week12,5600
0,0,0,0,101208005,week13,5521
0,0,0,0,101208005,week14,5521
0,0,0,0,101208005,week15,5521
0,0,1162,0,101208005,week16,5300
0,0,0,0,101208005,week17,5521
0,98,0,0,101208005,week18,5524
0,0,0,0,101208008,week1,5521
0,0,0,0,101208008,week2,5521
0,0,0,0,101208008,week3,5521
0,0,0,0,101208008,week4,5521
0,7,0,416,101208008,week5,5560
0,0,0,96,101208008,week6,5526
0,0,0,0,101208008,week7,5521
0,0,0,0,101208008,week8,5521
0,0,0,0,101208008,week9,5521
0,0,0,0,101208008,week10,5521
0,0,0,0,101208008,week11,5521
0,0,0,0,101208008,week12,5521
0,0,0,0,101208008,week13,5521
0,0,0,0,101208008,week14,5521
0,0,0,0,101208008,week15,5521
0,0,0,0,101208008,week16,5521
0,0,0,0,101208008,week17,5521
489,0,0,0,101208008,week18,5510
0,0,0,0,101208013,week1,5521
0,0,0,0,101208013,week2,5521
0,0,0,0,101208013,week3,5521
0,10,0,19,101208013,week4,5521
0,43,0,395,101208013,week5,5560
0,16,0,47,101208013,week6,5522
0,23,0,19,101208013,week7,5521
0,6,0,16,101208013,week8,5521
0,0,0,17,101208013,week9,5521
0,9,0,39,101208013,week10,5522
0,0,0,5,101208013,week11,5521
0,1550,0,33,101208013,week12,5550
0,0,0,0,101208013,week13,5521
0,0,0,0,101208013,week14,5521
0,0,0,0,101208013,week15,5521
0,0,0,0,101208013,week16,5521
0,0,0,0,101208013,week17,5521
0,0,0,0,101208013,week18,5521
0,0,0,0,101208015,week1,5521
0,0,0,0,101208015,week2,5521
0,0,0,0,101208015,week3,5521
0,0,0,0,101208015,week4,5521
0,944,0,305,101208015,week5,5550
0,0,1596,757,101208015,week6,5300
0,0,0,0,101208015,week7,5521
0,0,0,0,101208015,week8,5521
0,0,0,0,101208015,week9,5521
0,0,0,0,101208015,week10,5521
0,0,0,0,101208015,week11,5521
0,0,20903,181,101208015,week12,1400
0,0,0,0,101208015,week13,5521
0,0,0,0,101208015,week14,5521
0,0,0,0,101208015,week15,5521
0,0,0,0,101208015,week16,5521
0,0,0,36,101208015,week17,5522
2144,99,0,312,101208015,week18,5600
0,0,0,0,101208017,week1,5521
0,0,0,0,101208017,week2,5521
