clustered_label,0,1,2,3,4,5
4100,1.0,1.0,1.0,1.0,1.0,0.0
4100,1.0,1.0,1.0,1.0,0.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,1.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
2819,1.0,1.0,1.0,1.0,0.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
4100,0.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
4100,1.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
2819,1.0,1.0,1.0,1.0,1.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,1.0,1.0,0.0
2849,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,1.0,1.0,1.0,0.0,0.0
2860,1.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,1.0,0.0,0.0
2849,0.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
4100,1.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
2819,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
2819,1.0,1.0,1.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,0.0,0.0,0.0
4100,1.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,1.0,1.0,0.0
4100,0.0,0.0,0.0,0.0,0.0,0.0
2849,1.0,0.0,0.0,0.0,0.0,0.0
4100,1.0,1.0,0.0,0.0,0.0,0.0
2849,1.0,1.0,1.0,0.0,0.0,0.0
2940,1.0,1.0,1.0,1.0,0.0,0.0
4100,1.0,0.0,0.0,0.0,0.0,0.0
2819,1.0,1.0,1.0,0.0,0.0,0.0
4500,1.0,1.0,1.0,0.0,0.0,0.0
2819,1.0,1.0,0.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,1.0,1.0,1.0
4500,1.0,1.0,1.0,1.0,0.0,0.0
2930,1.0,1.0,1.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
2930,1.0,1.0,1.0,0.0,0.0,0.0
2930,0.0,0.0,0.0,0.0,0.0,0.0
2930,1.0,1.0,1.0,1.0,1.0,1.0
2960,1.0,1.0,1.0,1.0,1.0,0.0
