id,week,TA_video,TA_text,Teacher_video,Teacher_text,median,clustered_label,x_label,y_label,x_y_label,clusterL1,clusterL2,clusterL3,clusterL4
102208006,week17,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.16716095052434946,-0.16716095052434946,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208006,week18,5.274294715181694,1.3676614891751804,-0.1750380112847939,-0.20189812383183994,1.3676614891751804,0.64,-2-1,-1-1,-2x1-1x1,2x1,1x1,,
102208007,week1,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208007,week2,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.18358215972425404,-0.1750380112847939,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208007,week3,-0.1790610684364638,-0.0916094415165824,-0.15604214216704285,-0.12421317261690662,-0.12421317261690662,0.1326,-0-2-1-1,-0-0-0-2,-0x0-2x0-1x0-1x2,0x0,2x0,1x0,1x2
102208007,week4,-0.1790610684364638,-0.04197437584679455,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1324,-0-2-1-1,-0-0-0-1,-0x0-2x0-1x0-1x1,0x0,2x0,1x0,1x1
102208007,week5,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208007,week6,-0.1790610684364638,1.6989755525210142,0.4336212950298125,-0.018738482755980883,0.4336212950298125,0.124,-0-1-0,-0-0-1,-0x0-1x0-0x1,0x0,1x0,0x1,
102208007,week7,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.1886348394780709,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208007,week8,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,0.5383194601023215,-0.1226313575601998,0.122,-0-1-1,-0-0-0,-0x0-1x0-1x0,0x0,1x0,1x0,
102208007,week9,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.16526619561666814,-0.16526619561666814,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208007,week10,-0.1790610684364638,-0.10277733129228467,-0.1750380112847939,1.1661149195140592,-0.10277733129228467,0.12300000000000001,-0-1-2,-0-0-0,-0x0-1x0-2x0,0x0,1x0,2x0,
102208007,week11,-0.1790610684364638,-0.11022259114275283,-0.1750380112847939,-0.12989743733995052,-0.12989743733995052,0.1326,-0-2-1-1,-0-0-0-2,-0x0-2x0-1x0-1x2,0x0,2x0,1x0,1x2
102208007,week12,5.3820267979848095,-0.10525908457577406,-0.15802087853347524,-0.1955822741395689,-0.10525908457577406,0.64,-2-1,-1-1,-2x1-1x1,2x1,1x1,,
102208007,week13,-0.16638670575374415,-0.1226313575601998,-0.1750380112847939,-0.19621385910879605,-0.16638670575374415,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208007,week14,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.17031887537048493,-0.17031887537048493,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
